,Scaffold,Closer,Accession,Status,VC,Level,Weight,Host,BaltimoreGroup,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus
305,vOTU_1382,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1168,vOTU_1383,Escherichia virus Lambda_4C10,LR595861,Clustered,VC_1146_0,1N3,1,Escherichia,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
1368,vOTU_1384,Klebsiella phage ST11-OXA48phi15.1,MK433579,Outlier,n.a.,1N2,10,Klebsiella,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
306,vOTU_1385,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1369,vOTU_1386,Siphovirus 29632,KY053532,Outlier,n.a.,1N1,1,Unspecified,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
307,vOTU_1387,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
308,vOTU_1388,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
309,vOTU_1389,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1169,vOTU_139,Klebsiella phage 4LV2017,KY271398,Clustered,VC_2_0,1C1,96,Klebsiella,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Peduovirinae,Felsduovirus
310,vOTU_1390,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
311,vOTU_1391,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1370,vOTU_1392,Escherichia virus Lambda_2G7b,LR595866,Outlier,n.a.,1N1,12,Escherichia,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
1170,vOTU_1393,Escherichia phage phiv205-1,MN340231,Clustered,VC_449_0,1N7,1,Escherichia,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
312,vOTU_1394,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
313,vOTU_1395,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
314,vOTU_1396,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
315,vOTU_1397,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
316,vOTU_1398,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
317,vOTU_1399,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
318,vOTU_14,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1699,vOTU_140,n.a.,n.a.,Clustered,VC_1382_0,F,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
319,vOTU_1400,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
320,vOTU_1401,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
321,vOTU_1402,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
322,vOTU_1403,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
323,vOTU_1404,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
324,vOTU_1405,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
325,vOTU_1406,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
326,vOTU_1407,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
327,vOTU_1408,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
328,vOTU_1409,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
329,vOTU_141,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
330,vOTU_1410,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
331,vOTU_1411,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
332,vOTU_1412,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
333,vOTU_1413,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
334,vOTU_1414,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
335,vOTU_1415,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
336,vOTU_1416,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
337,vOTU_1417,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1171,vOTU_1418,Escherichia phage 503046,CP025887,Clustered,VC_673_0,1C1,12,Escherichia,Unclassified,Unclassified,n.a.,n.a.,n.a.,n.a.,Unclassified,Unclassified,Unclassified
338,vOTU_1419,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1371,vOTU_142,Klebsiella phage ST405-OXA48phi1.1,MK388859,Overlap (VC_171/VC_172),n.a.,1N3,72,Klebsiella,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
339,vOTU_1420,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
340,vOTU_1421,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
341,vOTU_1422,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
342,vOTU_1423,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
343,vOTU_1424,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1172,vOTU_1425,Providencia phage PSTRCR_117lys,MW358929,Clustered,VC_680_0,1N3,2,Providencia,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
344,vOTU_1426,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1372,vOTU_1427,Escherichia phage Henu7,LR881103,Outlier,n.a.,1N1,7,Escherichia,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
1373,vOTU_1428,Campylobacter phage A11a,MG065691,Outlier,n.a.,1N1,3,Campylobacter,Unclassified,Unclassified,n.a.,n.a.,n.a.,n.a.,O,O,O
1700,vOTU_1429,n.a.,n.a.,Clustered,VC_1383_0,F,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1173,vOTU_143,Gordonia phage EpicDab,MK660712,Clustered,VC_900_0,1N6,3,Gordonia,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
345,vOTU_1430,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
346,vOTU_1431,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
347,vOTU_1432,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
348,vOTU_1433,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1174,vOTU_1434,Campylobacter phage PC10,MZ047271,Clustered,VC_653_0,1N2,3,Campylobacter,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
349,vOTU_1435,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1666,vOTU_1436,Escherichia phage RCS47,FO818745,Clustered,VC_1375_0,3C1,5,Escherichia,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified,Punavirus
350,vOTU_1437,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1701,vOTU_1438,n.a.,n.a.,Clustered,VC_1384_0,F,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1175,vOTU_1439,Enterobacteria phage phi80,FN582354,Clustered,VC_60_0,1N2,19,Enterobacteria,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
351,vOTU_144,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
352,vOTU_1440,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
353,vOTU_1441,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
354,vOTU_1442,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
355,vOTU_1443,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
356,vOTU_1444,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
357,vOTU_1445,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
358,vOTU_1446,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
359,vOTU_1447,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
360,vOTU_1448,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
361,vOTU_1449,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
362,vOTU_145,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
363,vOTU_1450,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1374,vOTU_1451,Bifidobacterium phage BigBern1,MT006237,Outlier,n.a.,1N1,5,Bifidobacterium,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
364,vOTU_1452,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1684,vOTU_1453,Streptococcus phage IPP61,KY065497,Outlier,n.a.,4N1,2,Streptococcus,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
1667,vOTU_1454,Streptococcus phage IPP61,KY065497,Clustered,VC_1363_0,3C1,5,Streptococcus,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified,Unclassified
365,vOTU_1455,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
366,vOTU_1456,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
367,vOTU_1457,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
368,vOTU_1458,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
369,vOTU_1459,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1176,vOTU_146,Klebsiella phage 3LV2017,KY271397,Clustered,VC_203_0,1C2,81,Klebsiella,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Peduovirinae,Reginaelenavirus
370,vOTU_1460,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1375,vOTU_1461,Staphylococcus phage MRSA107,KY038360,Outlier,n.a.,1N1,2,Staphylococcus,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
371,vOTU_1462,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
372,vOTU_1463,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
373,vOTU_1464,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
374,vOTU_1465,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
375,vOTU_1466,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1570,vOTU_1467,Enterobacteria phage PPompW_699,LC567826,Clustered,VC_1140_0,2C1,17,Enterobacteria,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified,Unclassified
376,vOTU_1468,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
377,vOTU_1469,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1376,vOTU_147,Clostridium phage phiMMP01,LN681541,Overlap (VC_131/VC_132),n.a.,1C1,35,Clostridium,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified,O
378,vOTU_1470,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
379,vOTU_1471,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1377,vOTU_1472,Enterobacteria phage P4,X51522,Outlier,n.a.,1N1,8,Enterobacteria,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
380,vOTU_1473,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1378,vOTU_1474,Klebsiella phage Kp4856-1,OK490410,Outlier,n.a.,1N1,4,Klebsiella,Unclassified,Unclassified,n.a.,n.a.,n.a.,n.a.,O,O,O
381,vOTU_1475,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
382,vOTU_1476,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
383,vOTU_1477,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
384,vOTU_1478,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
385,vOTU_1479,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
386,vOTU_148,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
387,vOTU_1480,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
388,vOTU_1481,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
389,vOTU_1482,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1379,vOTU_1483,Salmonella phage 29485,KY709687,Outlier,n.a.,1N1,12,Salmonella,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
390,vOTU_1484,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
391,vOTU_1485,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
392,vOTU_1486,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
393,vOTU_1487,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
394,vOTU_1488,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
395,vOTU_1489,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
396,vOTU_149,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
397,vOTU_1490,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1625,vOTU_1491,Salmonella phage epsilon15,AY150271,Outlier,n.a.,2N1,3,Salmonella,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
398,vOTU_1492,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
399,vOTU_1493,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
400,vOTU_1494,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
401,vOTU_1495,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1702,vOTU_1496,n.a.,n.a.,Clustered,VC_1385_0,F,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1626,vOTU_1497,Streptococcus phage IPP61,KY065497,Outlier,n.a.,2N2,2,Streptococcus,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
402,vOTU_1498,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
403,vOTU_1499,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1703,vOTU_15,n.a.,n.a.,Clustered,VC_1386_0,F,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1676,vOTU_150,Streptococcus phage IPP61,KY065497,Clustered,VC_1367_0,4N2,10,Streptococcus,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
404,vOTU_1500,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
405,vOTU_1501,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
406,vOTU_1502,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
407,vOTU_1503,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
408,vOTU_1504,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
409,vOTU_1505,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
410,vOTU_1506,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
411,vOTU_1507,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
412,vOTU_1508,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
413,vOTU_1509,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
414,vOTU_151,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
415,vOTU_1510,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
416,vOTU_1511,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
417,vOTU_1512,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
418,vOTU_1513,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
419,vOTU_1514,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
420,vOTU_1515,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1380,vOTU_1516,Klebsiella phage ST16-OXA48phi5.3,MK416014,Outlier,n.a.,1N1,8,Klebsiella,Group I,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,O,O,O
421,vOTU_1517,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
422,vOTU_1518,n.a.,n.a.,Singleton,n.a.,G,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
